*阿	ā
*標準	biāozhŭn
標準化	biāozhŭnhuà
*表	biăo
表層	biăocéng
*表達	biăodá
*表面	biăomiàn
*表明	biăomíng
表皮	biăopí
*表情	biăoqíng
*表示	biăoshì
表述	biăoshù
*表現	biăoxiàn
*表演	biăoyăn
表揚	biăoyáng
表彰	biăozhāng
*別	bié
*別人	bié·rén
賓	bīn
*冰	bīng
冰川	bīngchuān
*兵	bīng
兵力	bīnglì
丙	bĭng
柄	bĭng
屏	bĭng
餅	bĭng
*並	bìng
*並且	bìngqiě
並用	bìngyòng
*病	bìng
病變	bìngbiàn
病毒	bìngdú
病理	bìnglĭ
病情	bìngqíng
*病人	bìngrén
*波	bō
*波長	bōcháng
*波動	bōdòng
波浪	bōlàng
*玻璃	bō·lí
剝奪	bōduó
*剝削	bōxuē
撥	bō
播種	bōzhŏng
播種	bōzhòng
伯	bó
*脖子	bó·zi
*博士	bóshì
搏鬥	bódòu
*薄	bó
薄弱	bóruò
*薄	bò
捕	bŭ
捕撈	bŭlāo
捕食	bŭshí
捕捉	bŭzhuō
*補	bŭ
補償	bŭcháng
*補充	bŭchōng
補貼	bŭtiē
*不	bù
*不安	bùān
*不必	bùbì
不便	bùbiàn
不曾	bùcéng
*不錯	bùcuò
*不但	bùdàn
不當	bùdàng
不等	bùděng
不定	bùdìng
*不斷	bùduàn
*不對	bùduì
不妨	bùfáng
不服	bùfú
*不夠	bùgòu
*不顧	bùgù
*不管	bùguăn
不光	bùguāng
*不過	bùguò
不合	bùhé
不及	bùjí
*不禁	bùjīn
*不僅	bùjĭn
*不久	bùjiŭ
不堪	bùkān
*不可	bùkě
不快	bùkuài
*不利	bùlì
*不良	bùliáng
不料	bùliào
*不論	bùlùn
*不滿	bùmăn
不免	bùmiăn
*不怕	bùpà
不平	bùpíng
*不然	bùrán
不容	bùróng
*不如	bùrú
不時	bùshí
不惜	bùxī
*不想	bùxiăng
*不行	bùxíng
*不幸	bùxìng
*不許	bùxŭ
*不要	bùyào
不宜	bùyí
不已	bùyĭ
*不用	bùyòng
不止	bùzhĭ
*不足	bùzú
*步	bù
步伐	bùfá
*步驟	bùzhòu
*佈	bù
佈局	bùjú
*佈置	bùzhì
*部	bù
*部隊	bùduì
*部分	bù·fen
*部落	bùluò
*部門	bùmén
部署	bùshŭ
*部位	bùwèi
*擦	cā
猜	cāi
*才	cái
*才能	cáinéng
材	cái
*材料	cáiliào
財	cái
*財產	cáichăn
*財富	cáifù
財力	cáilì
財務	cáiwù
*財政	cáizhèng
彩	căi
彩色	căisè
*採	căi
*採訪	căifăng
採購	căigòu
採集	căijí
*採取	căiqŭ
*採用	căiyòng
踩	căi
*菜	cài
蔡	cài
參	cān
*參觀	cānguān
*參加	cānjiā
*參考	cānkăo
*參與	cānyù
參照	cānzhào
殘	cán
殘酷	cánkù
殘餘	cányú
蠶	cán
燦爛	cànlàn
倉	cāng
倉庫	cāngkù
蒼白	cāngbái
蒼蠅	cāng·ying
艙	cāng
*藏	cáng
操	cāo
操縱	cāozòng
*操作	cāozuò
曹	cáo
槽	cáo
*草	căo
草案	căo'àn
草地	căodì
*草原	căoyuán
冊	cè
*側	cè
側面	cèmiàn
側重	cèzhòng
*測	cè
*測定	cèdìng
*測量	cèliáng
測驗	cèyàn
策略	cèlüè
*曾	céng
*曾經	céngjīng
*層	céng
*層次	céngcì
叉	chā
*插	chā
*差	chā
*差別	chābié
差價	chājià
差距	chājù
*差異	chāyì
*茶	chá
茶館兒	cháguănr
茶葉	cháyè
*查	chá
察	chá
叉	chă
*差	chà
*差不多	chà·bùduō
差點兒	chàdiănr
*差	chāi
拆	chāi
柴	chái
纏	chán
*產	chăn
產地	chăndì
*產量	chănliàng
*產品	chănpĭn
*產生	chănshēng
*產物	chănwù
*產業	chănyè
產值	chănzhí
闡明	chănmíng
闡述	chănshù
顫抖	chàndŏu
*長	cháng
長城	Chángchéng
長處	cháng·chù
*長度	chángdù
長短	chángduăn
長久	chángjiŭ
*長期	chángqī
長遠	chángyuăn
長征	chángzhēng
*常	cháng
常規	chángguī
常年	chángnián
常識	chángshí
*場	cháng
腸	cháng
嘗	cháng
嘗試	chángshì
*場	chăng
場地	chăngdì
場合	chănghé
*場面	chăngmiàn
*場所	chăngsuŏ
*廠	chăng
廠房	chăngfáng
*唱	chàng
抄	chāo
*超	chāo
超出	chāochū
超額	chāo'é
*超過	chāoguò
超越	chāoyuè
巢	cháo
*朝	cháo
朝廷	cháotíng
潮	cháo
潮流	cháoliú
潮濕	cháoshī
吵	chăo
炒	chăo
*車	chē
*車間	chējiān
車輛	chēliàng
車廂	chēxiāng
車站	chēzhàn
車子	chē·zi
扯	chě
*徹底	chèdĭ
撤	chè
撤銷	chèxiāo
臣	chén
沉	chén
*沉澱	chéndiàn
沉積	chénjī
*沉默	chénmò
沉思	chénsī
*沉重	chénzhòng
沉著	chénzhuó
*陳	chén
陳舊	chénjiù
陳述	chénshù
塵	chén
趁	chèn
*稱	chèn
*稱	chēng
稱號	chēnghào
稱呼	chēng·hu
稱讚	chēngzàn
撐	chēng
*成	chéng
*成本	chéngběn
成蟲	chéngchóng
*成分	chéng·fèn
*成功	chénggōng
*成果	chéngguŏ
*成績	chéngjì
*成就	chéngjiù
*成立	chénglì
成年	chéngnián
*成人	chéngrén
*成熟	chéngshú
*成為	chéngwéi
成效	chéngxiào
成語	chéngyŭ
*成員	chéngyuán
*成長	chéngzhăng
*城	chéng
*城市	chéngshì
城鎮	chéngzhèn
誠	chéng
誠懇	chéngkěn
誠實	chéng·shí
*呈	chéng
*呈現	chéngxiàn
程	chéng
*程度	chéngdù
程式	chéngshì
承	chéng
承包	chéngbāo
*承擔	chéngdān
*承認	chéngrèn
承受	chéngshòu
*乘	chéng
乘機	chéngjī
乘客	chéngkè
*盛	chéng
懲罰	chéngfá
秤	chèng
*吃	chī
*吃飯	chīfàn
吃驚	chījīng
吃力	chīlì
*池	chí
池塘	chítáng
*持	chí
持久	chíjiŭ
*持續	chíxù
*遲	chí
*尺	chĭ
*尺度	chĭdù
齒	chĭ
赤	chì
赤道	chìdào
翅	chì
*翅膀	chìbăng
充	chōng
充當	chōngdāng
*充分	chōngfèn
*充滿	chōngmăn
充實	chōngshí
充足	chōngzú
*衝	chōng
衝動	chōngdòng
衝擊	chōngjī
衝破	chōngpò
*衝突	chōngtū
*重	chóng
*重複	chóngfù
*重新	chóngxīn
*崇拜	chóngbài
崇高	chónggāo
*蟲	chóng
*衝	chòng
*抽	chōu
*抽象	chōuxiàng
仇恨	chóuhèn
愁	chóu
醜	chŏu
臭	chòu
*出	chū
*出版	chūbăn
出產	chūchăn
*出發	chūfā
出發點	chūfādiăn
出國	chūguó
*出口	chūkŏu
*出來	chū·lái
出路	chūlù
出賣	chūmài
出門	chūmén
*出去	chū·qù
出色	chūsè
出身	chūshēn
*出生	chūshēng
出售	chūshòu
出土	chūtŭ
出席	chūxí
*出現	chūxiàn
出血	chūxiě
*初	chū
*初步	chūbù
初級	chūjí
*初期	chūqī
初中	chūzhōng
*除	chú
除非	chúfēi
*除了	chú·le
廚房	chúfáng
*處	chŭ
處罰	chŭfá
處分	chŭfèn
處境	chŭjìng
*處理	chŭlĭ
*處於	chŭyú
楚	chŭ
儲備	chŭbèi
*儲存	chŭcún
儲量	chŭliàng
儲蓄	chŭxù
*畜	chù
*處	chù
觸	chù
川	chuān
*穿	chuān
*穿著	chuānzhuó
*船	chuán
船舶	chuánbó
船長	chuánzhăng
船隻	chuánzhī
*傳	chuán
*傳播	chuánbō
傳達	chuándá
傳導	chuándăo
傳遞	chuándì
傳教士	chuánjiàoshì
傳染病	chuánrănbìng
傳授	chuánshòu
*傳說	chuánshuō
*傳統	chuántŏng
喘	chuăn
*串	chuàn
創	chuāng
創傷	chuāngshāng
窗	chuāng
窗戶	chuāng·hu
窗口	chuāngkŏu
窗子	chuāng·zi
*床	chuáng
幢	chuáng
闖	chuăng
創	chuàng
創辦	chuàngbàn
*創立	chuànglì
創新	chuàngxīn
*創造	chuàngzào
*創造性	chuàngzàoxìng
*創作	chuàngzuò
*吹	chuī
垂	chuí
*垂直	chuízhí
錘	chuí
*春	chūn
春季	chūnjì
春節	chūnjié
春秋	chūnqiū
*春天	chūntiān
唇	chún
*純	chún
純粹	chúncuì
純潔	chúnjié
*詞	cí
詞典	cídiăn
詞義	cíyì
詞語	cíyŭ
*磁	cí
*磁場	cíchăng
磁力	cílì
磁鐵	cítiě
雌	cí
辭	cí
辭職	cízhí
*此	cĭ
此地	cĭdì
此後	cĭhòu
此刻	cĭkè
*此外	cĭwài
*次	cì
次數	cìshù
次序	cìxù
次要	cìyào
*刺	cì
*刺激	cìjī
賜	cì
*聰明	cōng·míng
*從	cóng
*從此	cóngcĭ
*從而	cóng'ér
*從來	cónglái
*從前	cóngqián
*從事	cóngshì
從小	cóngxiăo
從中	cóngzhōng
叢	cóng
湊	còu
*粗	cū
粗糙	cūcāo
促	cù
促成	cùchéng
*促進	cùjìn
*促使	cùshĭ
簇	cù
竄	cuàn
催	cuī
摧殘	cuīcán
摧毀	cuīhuĭ
*村	cūn
村莊	cūnzhuāng
村子	cūn·zi
*存	cún
存款	cúnkuăn
*存在	cúnzài
寸	cùn
挫折	cuòzhé
*措施	cuòshī
*錯	cuò
*錯誤	cuò·wù
*搭	dā
*答應	dā·ying
*打	dá
*達	dá
*達到	dádào
*答	dá
答案	dá'àn
答覆	dá·fù
*打	dă
打敗	dăbài
打扮	dă·ban
打倒	dădăo
*打擊	dăjī
打架	dăjià
*打開	dăkāi
打量	dă·liang
*打破	dăpò
*打算	dă·suan
打聽	dă·ting
打下	dăxià
打仗	dăzhàng
*大	dà
大臣	dàchén
*大膽	dàdăn
*大地	dàdì
大豆	dàdòu
*大隊	dàduì
*大多	dàduō
*大多數	dàduōshù
大風	dàfēng
*大概	dàgài
大綱	dàgāng
大哥	dàgē
*大會	dàhuì
*大夥兒	dàhuŏr
*大家	dàjiā
大街	dàjiē
大姐	dàjiě
*大量	dàliàng
*大陸	dàlù
*大門	dàmén
*大腦	dànăo
大炮	dàpào
*大氣	dàqì
大慶	dàqìng
*大人	dà·rén
大廈	dàshà
大嬸兒	dàshěnr
大師	dàshī
*大事	dàshì
大叔	dàshū
大體	dàtĭ
大廳	dàtīng
大王	dàwáng
*大小	dàxiăo
*大型	dàxíng
*大學	dàxué
*大學生	dàxuéshēng
大洋	dàyáng
大衣	dàyī
大雨	dàyŭ
*大約	dàyuē
大戰	dàzhàn
*大致	dàzhì
大眾	dàzhòng
大自然	dàzìrán
*呆	dāi
*待	dāi
*大夫	dài·fu
*代	dài
*代表	dàibiăo
代價	dàijià
代理	dàilĭ
代理人	dàilĭrén
*代替	dàitì
代謝	dàixiè
*待	dài
待遇	dàiyù
*帶	dài
帶動	dàidòng
*帶領	dàilĭng
帶頭	dàitóu
逮捕	dàibŭ
袋	dài
*貸款	dàikuăn
*戴	dài
耽誤	dān·wu
*單	dān
*單純	dānchún
單調	dāndiào
*單獨	dāndú
*單位	dānwèi
單一	dānyī
*擔	dān
擔負	dānfù
*擔任	dānrèn
*擔心	dānxīn
膽	dăn
*石	dàn
*但	dàn
*但是	dànshì
淡	dàn
淡水	dànshuĭ
*蛋	dàn
蛋白	dànbái
*蛋白質	dànbáizhì
*氮	dàn
*誕生	dànshēng
彈	dàn
*擔	dàn
擔子	dàn·zi
*當	dāng
當場	dāngchăng
當初	dāngchū
*當代	dāngdài
*當地	dāngdì
當今	dāngjīn
當局	dāngjú
*當年	dāngnián
*當前	dāngqián
*當然	dāngrán
*當時	dāngshí
*當事人	dāngshìrén
當選	dāngxuăn
當中	dāngzhōng
擋	dăng
*黨	dăng
*黨委	dăngwěi
*黨員	dăngyuán
*當	dàng
當成	dàngchéng
*當年	dàngnián
*當時	dàngshí
當天	dàngtiān
當做	dàngzuò
檔案	dàng'àn
*刀	dāo
*島	dăo
島嶼	dăoyŭ
*倒	dăo
倒霉	dăoméi
導	dăo
導彈	dăodàn
導管	dăoguăn
*導演	dăoyăn
*導致	dăozhì
*到	dào
*到處	dàochù
*到達	dàodá
*到底	dàodĭ
到來	dàolái
*倒	dào
*道	dào
*道德	dàodé
道教	Dàojiào
*道理	dào·lĭ
*道路	dàolù
盜竊	dàoqiè
稻	dào
稻穀	dàogŭ
*得	dé
*得到	dédào
*得以	déyĭ
得意	déyì
*德	dé
德育	déyù
*得	dĕi
登	dēng
*登記	dēngjì
*燈	dēng
*燈光	dēngguāng
燈泡兒	dēngpàor
蹬	dēng
*等	děng
*等待	děngdài
*等到	děngdào
等候	děnghòu
*等級	děngjí
*等於	děngyú
鄧	dèng
*瞪	dèng
*低	dī
低級	dījí
低頭	dītóu
低溫	dīwēn
低下	dīxià
*滴	dī
*的確	díquè
*敵	dí
敵對	díduì
*敵人	dírén
*底	dĭ
底層	dĭcéng
*底下	dĭ·xià
抵	dĭ
抵抗	dĭkàng
抵制	dĭzhì
*地	dì
地板	dìbăn
地表	dìbiăo
地步	dìbù
地層	dìcéng
*地帶	dìdài
*地點	dìdiăn
*地方	dìfāng
*地方	dì·fang
*地理	dìlĭ
*地貌	dìmào
*地面	dìmiàn
地殼	dìqiào
*地球	dìqiú
*地區	dìqū
地勢	dìshì
*地圖	dìtú
*地位	dìwèi
*地下	dìxià
*地下	dì·xia
*地形	dìxíng
地域	dìyù
地震	dìzhèn
*地質	dìzhì
*地主	dìzhŭ
地租	dìzū
*弟弟	dì·di
弟子	dìzĭ
*第	dì
帝	dì
帝國	dìguó
遞	dì
*典型	diănxíng
碘	diăn
*點	diăn
點燃	diănrán
*點頭	diăntóu
*店	diàn
奠定	diàndìng
*電	diàn
電報	diànbào
電池	diànchí
電磁	diàncí
電磁波	diàncíbō
電燈	diàndēng
電動	diàndòng
*電話	diànhuà
電離	diànlí
電力	diànlì
電量	diànliàng
*電流	diànliú
*電路	diànlù
電腦	diànnăo
電器	diànqì
*電視	diànshì
電視劇	diànshìjù
電視台	diànshìtái
電台	diàntái
電線	diànxiàn
*電壓	diànyā
*電影	diànyĭng
電源	diànyuán
*電子	diànzĭ
*電阻	diànzŭ
墊	diàn
澱粉	diànfěn
雕	diāo
雕刻	diāokè
雕塑	diāosù
吊	diào
*掉	diào
*調	diào
調撥	diàobō
*調查	diàochá
*調動	diàodòng
*爹	diē
跌	diē
迭	dié
*丁	dīng
盯	dīng
釘	dīng
*頂	dĭng
頂點	dĭngdiăn
頂端	dĭngduān
*定	dìng
*定額	dìng'é
*定理	dìnglĭ
定量	dìngliàng
*定律	dìnglǜ
定期	dìngqī
定向	dìngxiàng
定型	dìngxíng
*定義	dìngyì
訂	dìng
訂貨	dìnghuò
釘	dìng
*丟	diū
*冬	dōng
*冬季	dōngjì
*冬天	dōngtiān
*東	dōng
*東北	dōngběi
*東方	dōngfāng
東南	dōngnán
東歐	Dōngōu
*東西	dōngxī
*東西	dōng·xi
*懂	dŏng
*懂得	dŏng·dé
*洞	dòng
*凍	dòng
*動	dòng
動詞	dòngcí
*動機	dòngjī
動靜	dòng·jing
*動力	dònglì
動脈	dòngmài
動能	dòngnéng
動人	dòngrén
*動手	dòngshŏu
動態	dòngtài
*動物	dòngwù
動搖	dòngyáo
*動員	dòngyuán
*動作	dòngzuò
兜	dōu
*都	dōu
*斗	dŏu
抖	dŏu
豆	dòu
豆腐	dòu·fu
逗	dòu
*鬥	dòu
*鬥爭	dòuzhēng
*都	dū
*都會	dūhuì
都市	dūshì
*毒	dú
毒素	dúsù
獨	dú
*獨立	dúlì
*獨特	dútè
獨佔	dúzhàn
獨自	dúzì
*讀	dú
*讀書	dúshū
*讀者	dúzhě
*肚子	dŭ·zi
堵	dŭ
杜	dù
肚皮	dùpí
*肚子	dù·zi
*度	dù
渡	dù
*端	duān
端正	duānzhèng
*短	duăn
短期	duănqī
短暫	duănzàn
*段	duàn
*斷	duàn
斷定	duàndìng
*鍛鍊	duànliàn
*堆	duī
堆積	duījī
*隊	duì
*隊伍	duìwŭ
*對	duì
*對比	duìbĭ
*對不起	duì·bùqĭ
*對稱	duìchèn
*對待	duìdài
*對方	duìfāng
對付	duì·fu
對話	duìhuà
對抗	duìkàng
*對立	duìlì
對流	duìliú
對面	duìmiàn
對手	duìshŏu
*對象	duìxiàng
*對應	duìyìng
*對於	duìyú
對照	duìzhào
*噸	dūn
*蹲	dūn
*頓	dùn
*頓時	dùnshí
*多	duō
*多麼	duō·me
*多少	duō·shăo
*多數	duōshù
多餘	duōyú
*度	duó
奪	duó
*奪取	duóqŭ
*朵	duŏ
*躲	duŏ
*阿	ē
俄	é
鵝	é
*額	é
*惡	è
惡化	èhuà
惡劣	èliè
*餓	è
恩	ēn
*而	ér
而後	érhòu
*而且	érqiě
*兒	ér
兒女	érnǚ
*兒童	értóng
*兒子	ér·zi
*耳	ěr
*耳朵	ěr·duo
爾	ěr
*二	èr
*發	fā
*發表	fābiăo
發病	fābìng
發佈	fābù
*發出	fāchū
*發達	fādá
發電	fādiàn
*發動	fādòng
發動機	fādòngjī
發抖	fādŏu
*發揮	fāhuī
發掘	fājué
發覺	fājué
*發明	fāmíng
發起	fāqĭ
發熱	fārè
*發射	fāshè
*發生	fāshēng
*發現	fāxiàn
*發行	fāxíng
發芽	fāyá
發言	fāyán
*發揚	fāyáng
發音	fāyīn
*發育	fāyù
*發展	fāzhăn
發作	fāzuò
罰	fá
罰款	fákuăn
*法	fă
法定	fădìng
法官	făguān
*法規	făguī
法令	fălìng
*法律	fălǜ
法人	fărén
法庭	fătíng
法學	făxué
*法院	făyuàn
*法則	făzé
*法制	făzhì
*髮	fà
番	fān
*翻	fān
翻身	fānshēn
*翻譯	fānyì
*凡	fán
*凡是	fánshì
煩惱	fánnăo
繁	fán
繁多	fánduō
*繁榮	fánróng
*繁殖	fánzhí
繁重	fánzhòng
*反	făn
*反動	făndòng
*反對	fănduì
*反而	făn'ér
*反覆	fănfù
*反抗	fănkàng
反面	fănmiàn
*反射	fănshè
*反映	fănyìng
*反應	fănyìng
*反正	făn·zhèng
*反之	fănzhī
返	făn
返回	fănhuí
*犯	fàn
*犯罪	fànzuì
泛	fàn
*飯	fàn
飯店	fàndiàn
範	fàn
*範疇	fànchóu
*範圍	fànwéi
*方	fāng
*方案	fāng'àn
*方便	fāngbiàn
方才	fāngcái
*方程	fāngchéng
*方法	fāngfă
*方面	fāngmiàn
*方式	fāngshì
*方向	fāngxiàng
*方言	fāngyán
*方針	fāngzhēn
妨礙	fáng'ài
防	fáng
防禦	fángyù
*防止	fángzhĭ
*防治	fángzhì
*房	fáng
*房間	fángjiān
*房屋	fángwū
*房子	fáng·zi
*彷彿	făngfú
紡織	făngzhī
訪	făng
*訪問	făngwèn
*放	fàng
放大	fàngdà
*放棄	fàngqì
放射	fàngshè
放射性	fàngshèxìng
放鬆	fàngsōng
*放心	fàngxīn
*非	fēi
*非常	fēicháng
非法	fēifă
*飛	fēi
飛船	fēichuán
*飛機	fēijī
飛快	fēikuài
飛翔	fēixiáng
*飛行	fēixíng
飛躍	fēiyuè
*肥	féi
肥料	féiliào
匪	fěi
*肺	fèi
沸騰	fèiténg
*費	fèi
*費用	fèi·yòng
廢	fèi
廢除	fèichú
*分	fēn
分辨	fēnbiàn
*分別	fēnbié
*分佈	fēnbù
*分成	fēnchéng
分割	fēngē
*分工	fēngōng
*分化	fēnhuà
*分解	fēnjiě
*分開	fēnkāi
*分類	fēnlèi
*分離	fēnlí
*分裂	fēnliè
*分泌	fēnmì
分明	fēnmíng
*分配	fēnpèi
分歧	fēnqí
*分散	fēnsàn
*分析	fēnxī
分支	fēnzhī
*分子	fēnzĭ
*粉	fěn
粉末	fěnmò
粉碎	fěnsuì
*分	fèn
分量	fèn·liàng
*分子	fènzĭ
*份	fèn
憤怒	fènnù
*奮鬥	fèndòu
糞	fèn
*風	fēng
風暴	fēngbào
*風格	fēnggé
風光	fēngguāng
風景	fēngjĭng
風力	fēnglì
風氣	fēngqì
風俗	fēngsú
風速	fēngsù
風險	fēngxiăn
風雨	fēngyŭ
瘋狂	fēngkuáng
*封	fēng
封閉	fēngbì
*封建	fēngjiàn
封鎖	fēngsuŏ
峰	fēng
蜂	fēng
鋒	fēng
豐	fēng
豐富	fēngfù
豐收	fēngshōu
馮	Féng
縫	féng
諷刺	fěngcì
奉	fèng
奉獻	fèngxiàn
*縫	fèng
*佛	fó
*佛教	Fójiào
否	fŏu
*否定	fŏudìng
*否認	fŏurèn
*否則	fŏuzé
*夫	fū
夫婦	fūfù
*夫妻	fūqī
*夫人	fū·rén
孵化	fūhuà
*伏	fú
伏特	fútè
*扶	fú
*服	fú
*服從	fúcóng
*服務	fúwù
服務員	fúwùyuán
*服裝	fúzhuāng
俘虜	fúlŭ
浮	fú
浮動	fúdòng
浮游	fúyóu
*符號	fúhào
*符合	fúhé
*幅	fú
幅度	fúdù
*輻射	fúshè
福	fú
福利	fúlì
府	fŭ
腐	fŭ
腐敗	fŭbài
腐蝕	fŭshí
腐朽	fŭxiŭ
輔助	fŭzhù
撫摸	fŭmō
*父母	fùmŭ
*父親	fù·qīn
付	fù
付出	fùchū
附	fù
附加	fùjiā
*附近	fùjìn
附著	fùzhuó
*服	fù
*負	fù
*負擔	fùdān
*負責	fùzé
赴	fù
*副	fù
*富	fù
*富有	fùyŏu
富裕	fùyù
婦	fù
*婦女	fùnǚ
*復	fù
復辟	fùbì
*腹	fù
複合	fùhé
*複雜	fùzá
複製	fùzhì
覆蓋	fùgài
賦	fù
賦予	fùyŭ
*該	gāi
*改	găi
改編	găibiān
*改變	găibiàn
*改革	găigé
*改進	găijìn
改良	găiliáng
*改善	găishàn
*改造	găizào
改正	găizhèng
改組	găizŭ
鈣	gài
*蓋	gài
*概括	gàikuò
概率	gàilǜ
*概念	gàiniàn
*干擾	gānrăo
*干涉	gānshè
干預	gānyù
杆	gān
*肝	gān
肝臟	gānzàng
甘心	gānxīn
*乾	gān
乾脆	gāncuì
乾旱	gānhàn
*乾淨	gān·jìng
*乾燥	gānzào
桿	găn
*趕	găn
*趕緊	gănjĭn
*趕快	gănkuài
趕忙	gănmáng
*敢	găn
敢於	gănyú
*感	găn
*感到	găndào
*感動	găndòng
感官	gănguān
感激	găn·jī
*感覺	gănjué
感慨	gănkăi
*感情	gănqíng
*感染	gănrăn
*感受	gănshòu
感謝	gănxiè
感性	gănxìng
感應	gănyìng
感知	gănzhī
*幹	gàn
*幹部	gànbù
*剛	gāng
*剛才	gāngcái
*綱	gāng
綱領	gānglĭng
*鋼	gāng
鋼琴	gāngqín
*鋼鐵	gāngtiě
*崗位	găngwèi
港	găng
港口	găngkŏu
*高	gāo
高潮	gāocháo
*高大	gāodà
高等	gāoděng
*高低	gāodī
高地	gāodì
*高度	gāodù
*高級	gāojí
高空	gāokōng
高尚	gāoshàng
高速	gāosù
*高溫	gāowēn
高校	gāoxiào
*高興	gāoxìng
高壓	gāoyā
*高原	gāoyuán
高漲	gāozhăng
高中	gāozhōng
*搞	găo
稿	găo
告	gào
告別	gàobié
*告訴	gào·su
*哥哥	gē·ge
*歌	gē
歌唱	gēchàng
歌劇	gējù
*歌曲	gēqŭ
歌聲	gēshēng
歌頌	gēsòng
歌舞	gēwŭ
疙瘩	gē·da
胳膊	gē·bo
割	gē
鴿子	gē·zi
擱	gē
*革命	gémìng
*革新	géxīn
*格	gé
格外	géwài
*隔	gé
隔壁	gébì
隔離	gélí
*各	gè
*各自	gèzì
*個	gè
*個別	gèbié
*個人	gèrén
*個體	gètĭ
*個性	gèxìng
*給	gěi
*根	gēn
*根本	gēnběn
*根據	gēnjù
*根據地	gēnjùdì
